frequency(Hz)	neutral	distress
0.0	939.0918608088085	945.8166975191206
1.0	31.522495219291788	151.77972185906162
2.0	12.183951340242317	162.89396331614856
3.0	7.437988078389791	86.38820063167992
4.0	5.305853373013932	51.17341096200446
5.0	4.206637876834506	39.37939071741903
6.0	3.580011157428511	31.36433083982083
7.0	3.2592110183935703	25.19426651113864
8.0	2.784196925658058	21.92133901187759
9.0	2.3635928874848013	16.500460602852964
10.0	2.2814905938599046	14.650452220040242
11.0	2.062528551656101	12.758253273947172
12.0	1.9711034595936328	11.294697357839196
13.0	1.8667870574111163	10.618706585414921
14.0	1.6625643138352004	9.280566033976447
15.0	1.528461160803186	8.31766984387867
16.0	1.397967919606301	7.771359749188161
17.0	1.3381090863510134	6.96252089442689
18.0	1.3647488534543348	6.8690021312648915
19.0	1.2962846332268423	6.270181672606219
20.0	1.2631603491679255	5.761644573288595
21.0	1.2304868326183747	5.283877192296459
22.0	1.044096280042485	5.111294893979038
23.0	1.0810061112601537	4.895739833648454
24.0	1.079703143963517	4.634947652808764
25.0	0.981135709491454	4.388118921155163
26.0	0.9765672356544018	4.164463566371156
27.0	0.9319530404514277	3.9412844243018106
28.0	0.9209208150285761	3.7970186916831383
29.0	0.8766275225007741	3.6586683096843977
30.0	0.9044241048391845	3.508508862837158
31.0	0.8829966971587375	3.382377854508137
32.0	0.8512251786741747	3.2706717420871483
33.0	0.7966024972605806	3.1721901520128997
34.0	0.748912598735487	3.0392536739075107
35.0	0.7234030241450069	2.968444792163325
36.0	0.7476428873255583	2.9604386546706767
37.0	0.7849481389858453	2.893242301301088
38.0	0.6675068187653517	2.779134525749113
39.0	0.7434123053211694	2.6982201459462325
40.0	0.7165755931067995	2.6109351697515844
41.0	0.7139579579877784	2.5903759483979383
42.0	0.6723522604226699	2.490132937935723
43.0	0.7214620194711763	2.4033586725136473
44.0	0.6949699186848043	2.382303735672265
45.0	0.7306914063702465	2.3561674512653843
46.0	0.6955858315437037	2.268668152166863
47.0	0.7096165590785094	2.270423775093996
48.0	0.680115717299776	2.199294306005791
49.0	0.7240041128628097	2.1230230645392956
50.0	0.6810018590121127	2.0989299274803432
51.0	0.6936627331678122	2.060140235871594
52.0	0.650798027510767	2.0116614831941377
53.0	0.7047000677261904	1.968031641082157
54.0	0.5960023550477499	1.9697358283829027
55.0	0.6241155102343662	1.894708604935289
56.0	0.6316493189565098	1.8676499599468042
57.0	0.58715399177738	1.8526059432503845
58.0	0.6380310005383388	1.8488303310787826
59.0	0.6595368444959128	1.7772567475753827
60.0	0.5805640088844126	1.7794073873516056
61.0	0.6292849898210418	1.7687840444219491
62.0	0.6378298022021033	1.7713483328903699
63.0	0.6256364442791381	1.6999015621157847
64.0	0.611281599109016	1.6577322364710247
65.0	0.5952221145068585	1.7153394509901663
66.0	0.5308514316497759	1.6499693015942805
67.0	0.5645242071158981	1.6291765359001704
68.0	0.6031545328714484	1.6143073887448647
69.0	0.5521159536611391	1.597078853160666
70.0	0.5382421252456012	1.6211255512560365
71.0	0.5382137852896121	1.6406311886620106
72.0	0.531616359515211	1.6206832249775545
73.0	0.5609702845885648	1.5974804975911294
74.0	0.5338056751935066	1.6040740630787012
75.0	0.5552699706394503	1.592516751909049
76.0	0.5555336851701658	1.8319334382170698
77.0	0.5505232110905891	1.9764176646338616
78.0	0.5299709755284018	1.6396682172201904
79.0	0.5271637428556851	1.7698449863873535
80.0	0.5726272797648108	1.9283074769896584
81.0	0.6177439994629105	2.1885608960088927
82.0	0.5440027157201591	2.090901166590923
83.0	0.5937860311699392	1.895304484362663
84.0	0.5256003797023561	1.7968033900504738
85.0	0.5877183239594358	1.833373876954677
86.0	0.6050028734811608	1.7139365026006006
